bucket	files	bytes	mb	purpose
B-medical-assets	42	26023734	26.02	Domain vision/refined graphic assets
R-research-corpus	66	5243098	5.24	Ecosystem survey + template study corpus
A-support	9	1778629	1.78	Fonts, placeholders, isolated tests
B-medical-briefs	141	998640	1.00	Briefs, form-specs, accept, vision notes
META-devtracks	108	749390	0.75	Active/archived plans
ROOT-misc	42	453984	0.45	Root governance, scratch, licenses
A-pilots-dogfood	46	374796	0.37	Consumer dogfood pilots (not content SoT)
B-medical-graphics	52	359831	0.36	medical-graphics skill + playbook
A/B-compose-spikes	75	320327	0.32	Experimental Typst graphics spikes (bridge A+B)
A-showcase-book	59	293375	0.29	Flagship showcase book dogfooding bookkit
B-media-brief	33	253298	0.25	media-brief skill + form-space
A-guides-typst	9	239403	0.24	Durable Typst layout theory & lessons
A-prepress	7	199173	0.20	ICC profiles, PDF/X defs
BUILD-dist	2	91206	0.09	Generated PDFs/PNGs
A-compose-engine	35	83934	0.08	Compose validator CLI + fixtures/tests
A-packages-bookkit	19	68243	0.07	Consumable Typst runtime (theme, components, didactics facet)
C-content-maturity	36	49619	0.05	Content review/freeze/proof kit
A-skill-pack	10	37322	0.04	Platform skills: bookkit, compose-chapter, orchestrator
META-docs-ux	6	28589	0.03	Consumer docs, runbook, workspace
A-form-catalog	7	26048	0.03	Generic form whitelist + gap process
B-medical-meta	10	25115	0.03	Genre recipes + media templates
B-guides-medical	3	22518	0.02	Medical media/graphics guides
A-prepress-scripts	5	21759	0.02	Print PDF/X, DPI, preflight
A-toolset-other	6	16606	0.02	Toolset docs/tests misc
A-build-scripts	5	15707	0.02	Build, setup, bookkit CLI
B-graphics-scripts	4	11421	0.01	Vision/refine shell helpers
A-orchestration	5	5844	0.01	Book production board/run-log demo
B-medical-other	2	5637	0.01	Domain README/OWNERSHIP
A-starter-examples	6	4672	0.00	Consumer starter + smoke examples
B-domains-root	1	484	0.00	domains/ README
